Latitude,Longitude,MAT,MAP,LC_IGBP,FLUXCOM_GPP,FLUXCOM_GPP_filter
-81.25,13.75,-48.34,62.76,15,NaN,NaN
69.75,-84.75,-14.05,231.27,17,0.23079,NaN
-15.75,-60.25,25.72,1231.9,9,4.1592,4.1592
69.75,84.75,-9.75,300.65,7,0.63087,0.63087
-69.75,84.75,-26.66,340.53,15,NaN,NaN
38.75,35.75,6.85,403.6,10,1.1882,1.1882
54.25,-7.75,8.8,1332.5,9,3.077,3.077
-24.75,151.25,19.95,792.32,9,3.1831,3.1831
-84.75,-151.25,-23.1,122.79,15,NaN,NaN
-84.75,151.25,-43.02,106.25,15,NaN,NaN
-21.25,-67.75,5.57,79.99,16,0.41895,NaN
-5.75,-42.75,26.52,1378.5,8,5.17,5.17
5.75,42.75,27.27,295.67,7,0.7879,0.7879
43.25,-80.75,7.25,933.46,12,2.1947,2.1947
43.25,80.75,-1.87,416.45,10,1.6787,1.6787
-6.75,138.75,27.02,2300.5,11,7.2985,7.2985
2.25,12.75,23.3,1666.7,2,5.9505,5.9505
-2.25,12.75,23.43,1678.1,2,6.1191,6.1191
40.75,-0.25,12.48,544.23,9,1.6113,1.6113
40.75,0.25,12.14,527.17,1,2.223,2.223
-26.25,-65.25,20.22,746.14,10,3.4285,3.4285
26.25,65.25,24.38,158.3,16,NaN,NaN
-31.25,124.25,17.73,234.33,7,0.6618,0.6618
57.25,-158.25,2.84,1966.5,17,1.0914,NaN
17.75,-4.75,28.67,95.21,16,NaN,NaN
17.75,4.75,29.32,204.92,16,NaN,NaN
57.25,158.25,-2.97,490.56,9,1.2039,1.2039
-18.75,127.25,27.15,512.03,7,0.50056,0.50056
-81.75,-113.75,-27.23,61.42,15,NaN,NaN
